state_id,origin_year,pick_slot,completed_picks,d128_action,d256_action,legacy_action,unique_actions,rooms
dk:2017:slot1:depth0,2017,1,0,Julio Jones,Julio Jones,Julio Jones,1,24
dk:2017:slot1:depth7,2017,1,7,Theo Riddick,Theo Riddick,Philip Rivers,2,24
dk:2017:slot1:depth14,2017,1,14,Latavius Murray,Joe Flacco,Latavius Murray,2,24
dk:2017:slot6:depth0,2017,6,0,Julio Jones,Julio Jones,Devonta Freeman,2,24
dk:2017:slot6:depth7,2017,6,7,Donte Moncrief,Marcus Mariota,Derrick Henry,3,24
dk:2017:slot6:depth14,2017,6,14,Cole Beasley,Cole Beasley,O.J. Howard,2,24
dk:2017:slot12:depth0,2017,12,0,Doug Baldwin,A.J. Green,Melvin Gordon,3,24
dk:2017:slot12:depth7,2017,12,7,Kareem Hunt,Kareem Hunt,Dak Prescott,2,24
dk:2017:slot12:depth14,2017,12,14,Jared Goff,Jared Goff,Mike Glennon,2,24
