player,TotalSelectionCounts,TotalAvailableCount,Round1Count,Round2Count,Round3Count,Round4Count,Round5Count,Round6Count,Round7Count,Round8Count,Round9Count,Round10Count,Round11Count,Round12Count,Round13Count,Round14Count,Round15Count,Round16Count,Round17Count,Round18Count,Round19Count,Round20Count,Round1Available,Round2Available,Round3Available,Round4Available,Round5Available,Round6Available,Round7Available,Round8Available,Round9Available,Round10Available,Round11Available,Round12Available,Round13Available,Round14Available,Round15Available,Round16Available,Round17Available,Round18Available,Round19Available,Round20Available,PctSelectedWhenAvailable,Round1Pct,Round2Pct,Round3Pct,Round4Pct,Round5Pct,Round6Pct,Round7Pct,Round8Pct,Round9Pct,Round10Pct,Round11Pct,Round12Pct,Round13Pct,Round14Pct,Round15Pct,Round16Pct,Round17Pct,Round18Pct,Round19Pct,Round20Pct,PctSelected
Omar Cooper,13.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,22.0,18.0,14.0,11.0,3.0,2.0,1.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,9.090909090909092,5.555555555555555,14.285714285714286,36.36363636363637,33.333333333333336,0.0,0.0,0.0,0.0,54.2
Zachariah Branch,10.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,23.0,22.0,21.0,17.0,11.0,7.0,5.0,5.617977528089888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3478260869565215,4.545454545454546,9.523809523809524,5.882352941176471,27.272727272727273,14.285714285714286,20.0,41.699999999999996
Travis Kelce,9.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,20.0,14.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.569343065693431,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,0.0,15.0,14.285714285714286,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5
Caleb Douglas,9.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,23.0,23.0,22.0,5.487804878048781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,13.043478260869565,22.727272727272727,37.5
Chimere Dike,8.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,24.0,24.0,23.0,22.0,20.0,18.0,3.5242290748898677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,0.0,8.695652173913043,4.545454545454546,5.0,16.666666666666668,33.300000000000004
Makai Lemon,8.0,101.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,24.0,23.0,21.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.920792079207921,0.0,0.0,0.0,0.0,0.0,4.166666666666667,4.3478260869565215,9.523809523809524,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.300000000000004
Jeremiyah Love,7.0,64.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9375,0.0,16.666666666666668,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2
Jaxon Smith Njigba,7.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.166666666666668,29.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2
Jayden Higgins,7.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,22.0,15.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,44.44444444444444,50.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2
Jacoby Brissett,7.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,23.0,23.0,21.0,16.0,10.0,6.0,2.0,1.0,0.0,4.022988505747127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,4.3478260869565215,0.0,4.761904761904762,6.25,10.0,16.666666666666668,0.0,100.0,0.0,29.2
