buffer,x_count,x_pruned_count,future_available_cells,pruned_available_cells,pruned_available_cell_share,iters_with_leak_pct,max_iter_share
2,978,2542,6972287,4337970,0.6221731836340071,100.0,0.635036496350365
4,1017,2503,6972287,4204556,0.6030382857160068,100.0,0.6160583941605839
6,1070,2450,6972287,4061718,0.5825517509534532,100.0,0.5941605839416059
8,1133,2387,6972287,3904239,0.559965331318117,100.0,0.5710102489019033
10,1189,2331,6972287,3732399,0.5353191857994372,100.0,0.5461200585651538
