buffer,round,pick,available_cells,pruned_available_cells,share
2,2,24,770000,690000,0.8961038961038961
2,3,25,770000,680000,0.8831168831168831
2,4,48,660000,525115,0.7956287878787879
2,5,49,660000,520237,0.7882378787878788
2,6,72,550000,380093,0.6910781818181818
2,7,73,550000,380093,0.6910781818181818
2,8,96,440093,260238,0.5913250153944735
2,9,97,440093,260238,0.5913250153944735
2,10,120,335523,195286,0.5820346146165837
2,11,121,335523,195286,0.5820346146165837
2,12,144,254442,95131,0.3738808844451781
2,13,145,254442,90204,0.3545169429575306
2,14,168,202843,30499,0.15035766578092416
2,15,169,202843,25499,0.12570805992812176
2,16,192,149604,151,0.0010093313013021042
2,17,193,149604,384,0.0025667762894040266
2,18,216,95912,2939,0.0306426724497456
2,19,217,95912,3198,0.03334306447576946
2,20,240,55453,3379,0.06093448505941969
4,2,24,770000,675000,0.8766233766233766
4,3,25,770000,675000,0.8766233766233766
4,4,48,660000,510032,0.7727757575757576
4,5,49,660000,505032,0.7652
4,6,72,550000,365044,0.6637163636363637
4,7,73,550000,355093,0.6456236363636364
4,8,96,440093,260140,0.5911023351882443
4,9,97,440093,260140,0.5911023351882443
4,10,120,335523,185286,0.5522303985121735
4,11,121,335523,185286,0.5522303985121735
4,12,144,254442,90131,0.354230040637945
4,13,145,254442,90131,0.354230040637945
4,14,168,202843,20499,0.10105845407531934
4,15,169,202843,20499,0.10105845407531934
4,16,192,149604,151,0.0010093313013021042
4,17,193,149604,151,0.0010093313013021042
4,18,216,95912,1518,0.015827008090749856
4,19,217,95912,2044,0.02131120193510718
4,20,240,55453,3379,0.06093448505941969
6,2,24,770000,660000,0.8571428571428571
6,3,25,770000,645000,0.8376623376623377
6,4,48,660000,500000,0.7575757575757576
6,5,49,660000,500003,0.757580303030303
6,6,72,550000,345004,0.62728
6,7,73,550000,340015,0.6182090909090909
6,8,96,440093,255079,0.5796024931094109
6,9,97,440093,255079,0.5796024931094109
6,10,120,335523,180286,0.5373282904599684
6,11,121,335523,175286,0.5224261824077634
6,12,144,254442,85073,0.334351247042548
6,13,145,254442,85131,0.3345791968307119
6,14,168,202843,20396,0.10055067219475161
6,15,169,202843,10396,0.05125146048914678
6,16,192,149604,151,0.0010093313013021042
6,17,193,149604,151,0.0010093313013021042
6,18,216,95912,461,0.004806489281841689
6,19,217,95912,1518,0.015827008090749856
6,20,240,55453,2689,0.04849151533731268
8,2,24,770000,635000,0.8246753246753247
8,3,25,770000,635000,0.8246753246753247
8,4,48,660000,495000,0.75
8,5,49,660000,490000,0.7424242424242424
8,6,72,550000,330000,0.6
8,7,73,550000,330004,0.6000072727272727
8,8,96,440093,240033,0.5454142647122313
8,9,97,440093,230033,0.5226917946888499
8,10,120,335523,175140,0.521991040852639
8,11,121,335523,170242,0.5073929358046989
8,12,144,254442,75017,0.2948294699774408
8,13,145,254442,75073,0.29504955942808186
8,14,168,202843,10173,0.05015208806811179
8,15,169,202843,10252,0.05054155184058607
8,16,192,149604,0,0.0
8,17,193,149604,0,0.0
8,18,216,95912,461,0.004806489281841689
8,19,217,95912,461,0.004806489281841689
8,20,240,55453,2350,0.04237823021297315
10,2,24,770000,615000,0.7987012987012987
10,3,25,770000,615000,0.7987012987012987
10,4,48,660000,475000,0.7196969696969697
10,5,49,660000,465000,0.7045454545454546
10,6,72,550000,325000,0.5909090909090909
10,7,73,550000,325000,0.5909090909090909
10,8,96,440093,230007,0.5226327162667891
10,9,97,440093,225025,0.5113123817011405
10,10,120,335523,155004,0.46197727130479876
10,11,121,335523,150004,0.4470751632525937
10,12,144,254442,65004,0.25547669016907587
10,13,145,254442,65014,0.2555159918566903
10,14,168,202843,10103,0.049806993586172556
10,15,169,202843,10103,0.049806993586172556
10,16,192,149604,0,0.0
10,17,193,149604,0,0.0
10,18,216,95912,105,0.001094753524063725
10,19,217,95912,363,0.003784719326048878
10,20,240,55453,1667,0.030061493517032443
