blend,model_weight,group,players,mean_bias,mean_mae,p10_bias,p10_mae,p50_bias,p50_mae,p90_bias,p90_mae,tail_width_ratio_median,tail_width_ratio_mean,p10_within_025_pct,p90_within_025_pct
0.0,1.0,all,268,0.0648666,0.14418127,-0.007123673851810215,0.03285736726291141,-0.12938227493371537,0.2100834010252312,0.014856878768152983,0.05226376029982517,1.0021393278012662,1.0027155141875688,100.0,99.25373134328358
0.0,1.0,pred_ppg_ge_3,263,0.06572357,0.14654611,-0.00728009517655166,0.03341098357516094,-0.13186395122977718,0.2138847742697132,0.015213370595142236,0.05298015427680092,1.0022267681477695,1.0028029829857898,100.0,99.23954372623575
0.15,0.9886859966642595,all,268,0.06385991,0.14225614,-0.035962545471404775,0.04466416911402735,-0.12810822476201983,0.20630568310395994,0.05864794174237111,0.07402412295341525,1.0106440081448385,1.011887662164203,100.0,98.50746268656717
0.15,0.9886859966642595,pred_ppg_ge_3,263,0.06469902,0.14458567,-0.036450107605284915,0.045317161355181684,-0.13057697227245954,0.21004916959842349,0.059650938411176725,0.07521137284688655,1.0106938009622264,1.0118354718305491,100.0,98.47908745247148
0.25,0.9682458365518543,all,268,0.062377986,0.13921641,-0.027523990309060425,0.049404108035030626,-0.12460619322399595,0.20035184252617963,0.040104165806699975,0.07417231718106079,1.0078410750454343,1.00905698309479,100.0,98.13432835820896
0.25,0.9682458365518543,pred_ppg_ge_3,263,0.06319465,0.14149389,-0.027823823259810445,0.05011991280566601,-0.12700157564402534,0.20397231062102228,0.04082837521803326,0.07525676284906099,1.0079919431853943,1.0089662528879886,100.0,98.09885931558935
0.3,0.9539392014169457,all,268,0.06139329,0.13712323,-0.0239801000748107,0.055138819297747804,-0.12242648072207152,0.19742556183195825,0.01848815581691875,0.07434412498972322,1.005192695161822,1.0062253249371982,100.0,98.50746268656717
0.3,0.9539392014169457,pred_ppg_ge_3,263,0.062195513,0.1393652,-0.024256894978280232,0.056007985289105874,-0.12477897781836216,0.2009779545744109,0.018856064720299624,0.07541062695898496,1.0052231015624864,1.0061577484847546,100.0,98.47908745247148
0.35,0.9367496997597597,all,268,0.06024603,0.13464339,-0.019085840814149074,0.05895150157053076,-0.11982008325519847,0.19387936681064208,-0.011146625298171972,0.07813841958544143,1.0011794330274255,1.0022890685595156,100.0,97.38805970149254
0.35,0.9367496997597597,pred_ppg_ge_3,263,0.061031953,0.1368437,-0.019285674376179385,0.05990923742830976,-0.1221103514102022,0.19737832627822238,-0.011244025429844588,0.07921209081497477,1.0011410605326274,1.002230067734726,100.0,97.33840304182509
0.4,0.916515138991168,all,268,0.0589271,0.13174704,-0.013480775658763964,0.06665359050480286,-0.11689485898658411,0.18997376578957287,-0.043802260818765454,0.09067132366237333,0.9965301643097011,0.9978350503143123,99.25373134328358,96.64179104477611
0.4,0.916515138991168,pred_ppg_ge_3,263,0.05969451,0.13389887,-0.013615683820311014,0.06777840857270098,-0.11912343891854522,0.19339467545425937,-0.044388136482963324,0.09189789231739094,0.9965405046700789,0.9978216438531501,99.23954372623575,96.57794676806084
