buffer,x_count,x_pruned_count,future_relevant_available_cells,max_side_leaked_cells,max_side_leak_share_relevant,max_side_leak_share_all_available,iters_with_max_side_leak_pct,max_iter_relevant_share,max_iter_all_share
2,978,2542,2647287,12970,0.0048993554533377,0.0018602217608081825,83.36,0.0225140712945591,0.008583690987124463
4,1017,2503,2777287,9556,0.0034407679148752003,0.0013705689395746331,74.76,0.014652014652014652,0.005776173285198556
6,1070,2450,2917287,6718,0.002302824507838961,0.0009635288966159884,65.04,0.012195121951219513,0.005054151624548736
8,1133,2387,3072287,4239,0.0013797539097096072,0.0006079784151168763,50.7,0.009584664536741214,0.004267425320056899
10,1189,2331,3242287,2399,0.0007399098229120371,0.00034407648451648647,35.94,0.006042296072507553,0.002840909090909091
12,1230,2290,3337287,1435,0.0004299899888741963,0.00020581482087584748,23.3,0.004524886877828055,0.002158273381294964
