player,pos,base,target_p10,target_p90,pred_fp_per_game,target_width,draftable_eval,blend,sample_mean,sample_p10,sample_p50,sample_p90,mean_error,p10_error,p50_error,p90_error,tail_width_ratio
Josh Allen,QB,22.406786,18.659208,26.830322,22.406786,8.171114,True,0.0,22.61979,18.702972602844238,22.456418991088867,26.83628616333008,0.21300316,0.04376430511474538,0.049633026123046875,0.005963897705079546,0.9953738979093689
Jalen Hurts,QB,21.360476,17.578175,25.59179,21.360476,8.013615,True,0.0,21.481827,17.481275749206542,21.40045928955078,25.626800346374512,0.12135124,-0.09689884185791087,0.03998374938964844,0.03501110076904368,1.016460729435275
Lamar Jackson,QB,20.756985,16.941343,25.078993,20.756985,8.13765,True,0.0,20.921108,16.936532402038573,20.844295501708984,25.03422393798828,0.16412354,-0.00481090545654439,0.087310791015625,-0.04476890563964986,0.9950897369067464
Bijan Robinson,RB,20.648813,15.323631,27.7046,20.648813,12.380968,True,0.0,21.241966,15.28870668411255,20.982571601867676,27.700686645507812,0.593153,-0.03492460250854457,0.3337583541870117,-0.003912734985352273,1.0025048015056708
Jayden Daniels,QB,20.491468,16.626106,25.005093,20.491468,8.378986,True,0.0,20.672274,16.54922580718994,20.527518272399902,25.079840660095215,0.1808052,-0.07688045501708984,0.036049842834472656,0.07474803924560547,1.0180962813128698
Jahmyr Gibbs,RB,20.450188,15.124877,27.507557,20.450188,12.38268,True,0.0,21.187105,15.210355663299561,20.95827007293701,27.761699676513675,0.7369175,0.08547868728637731,0.508082389831543,0.2541427612304723,1.0136209669289116
Drake Maye,QB,20.372183,16.639284,24.904228,20.372183,8.264944,True,0.0,20.6257,16.699229621887206,20.44828224182129,24.94253044128418,0.25351715,0.0599454879760728,0.07609939575195312,0.03830223083496165,0.9973813183802961
Puka Nacua,WR,20.30392,15.618111,25.444115,20.30392,9.826004,True,0.0,20.36415,15.631203365325927,20.32319164276123,25.329518127441407,0.060228348,0.013092708587645774,0.019270896911621094,-0.11459655761718679,0.9870049650054276
Joe Burrow,QB,19.579523,15.878687,24.2235,19.579523,8.344812,True,0.0,19.779625,15.897823810577393,19.61738872528076,24.18199768066406,0.20010185,0.019136905670166016,0.037865638732910156,-0.041501617431642046,0.9927333868941973
Ja'Marr Chase,WR,19.52823,14.700994,24.262238,19.52823,9.561244,True,0.0,19.618921,14.737012577056884,19.66504192352295,24.276503562927246,0.09069061,0.036019039154052024,0.1368112564086914,0.014266014099121094,0.997724875023577
Jaxon Smith Njigba,WR,19.461315,14.775505,24.60151,19.461315,9.826004,True,0.0,19.563929,14.805062294006348,19.498123168945312,24.4949369430542,0.10261345,0.029557228088378906,0.036808013916015625,-0.10657215118408203,0.9861460081961995
Christian Mccaffrey,RB,19.367226,14.101138,26.1107,19.367226,12.0095625,True,0.0,19.906483,14.212783527374267,19.796231269836426,26.090987968444825,0.53925705,0.11164541244506765,0.42900562286376953,-0.019712638854979758,0.9890622117680393
Dak Prescott,QB,19.126509,15.347409,23.874565,19.126509,8.527156,True,0.0,19.30534,15.332552528381347,19.139222145080566,23.84356231689453,0.1788311,-0.01485671997070348,0.012713432312011719,-0.03100280761718821,0.9981065096169256
Brock Purdy,QB,18.877064,15.125059,23.590765,18.877064,8.465706,True,0.0,19.075891,15.159844493865966,18.87209415435791,23.633529472351075,0.19882774,0.034785366058349254,-0.004969596862792969,0.04276447296142649,1.0009425211582015
Patrick Mahomes,QB,18.809643,15.05993,23.390121,18.809643,8.330192,True,0.0,18.975765,15.047857093811036,18.80400276184082,23.46308650970459,0.16612244,-0.01207275390624929,-0.0056400299072265625,0.07296504974365092,1.0102083850658263
Trevor Lawrence,QB,18.721548,14.913325,22.956993,18.721548,8.043668,True,0.0,18.697472,14.953985595703125,18.555370330810547,22.949525451660158,-0.024076462,0.040660285949707387,-0.16617774963378906,-0.007467651367186079,0.9940166677001333
Bo Nix,QB,18.661112,14.861023,22.858765,18.661112,7.9977417,True,0.0,18.58078,14.882240486145019,18.40354061126709,22.853323936462402,-0.0803318,0.02121753692626882,-0.2575712203979492,-0.005440711975097656,0.9966667779600871
Jaxson Dart,QB,18.483334,14.475977,22.955376,18.483334,8.479399,True,0.0,18.464296,14.449253177642822,18.272377967834473,23.01675262451172,-0.019037247,-0.026723766326904652,-0.21095561981201172,0.06137695312500213,1.0103899724831957
Justin Herbert,QB,18.427103,14.659518,22.431389,18.427103,7.7718706,True,0.0,18.357704,14.49472131729126,18.217888832092285,22.56960391998291,-0.06939888,-0.1647969245910641,-0.2092142105102539,0.1382150650024414,1.0389882956984424
Caleb Williams,QB,18.398493,14.508451,22.408976,18.398493,7.900524,True,0.0,18.237583,14.484160137176515,18.06312656402588,22.375154113769533,-0.16090965,-0.02429132461547745,-0.33536624908447266,-0.03382148742675639,0.998793730309139
Amon Ra St Brown,WR,18.13377,13.357186,22.815805,18.13377,9.458619,True,0.0,18.209055,13.303744029998779,18.21144962310791,22.808203887939452,0.07528496,-0.05344228744506907,0.07767963409423828,-0.007601547241211648,1.004846451647249
Jonathan Taylor,RB,18.059782,12.891632,24.684166,18.059782,11.792534,True,0.0,18.516344,12.860883045196534,18.35879421234131,24.692751502990724,0.45656204,-0.030749034881591086,0.2990121841430664,0.008585548400880327,1.0033355497385925
Kyler Murray,QB,17.859682,13.671286,21.565962,17.859682,7.894676,True,0.0,17.516897,13.633765697479248,17.421154975891113,21.600889015197755,-0.34278488,-0.03751993179321289,-0.43852710723876953,0.03492717742919993,1.009176704314288
Jared Goff,QB,17.83357,14.003691,21.666063,17.83357,7.6623726,True,0.0,17.710922,14.006709384918214,17.57455825805664,21.697530364990236,-0.12264824,0.0030186653137214137,-0.25901222229003906,0.031467056274415484,1.0037127391848735
Devon Achane,RB,17.649487,12.500719,24.422981,17.649487,11.922262,True,0.0,18.21601,12.551262760162354,17.97694969177246,24.459564018249512,0.5665226,0.05054368972778356,0.32746315002441406,0.03658275604248118,0.9988290029643085
Ashton Jeanty,RB,17.634861,12.378653,24.324942,17.634861,11.946289,True,0.0,18.219507,12.372196483612061,18.073631286621094,24.407202911376952,0.5846462,-0.00645608901977468,0.4387702941894531,0.08226127624511648,1.0074263534726762
Tyler Shough,QB,17.621508,13.602991,21.302828,17.621508,7.6998367,True,0.0,17.308409,13.618025398254394,17.236961364746094,21.233049583435058,-0.3130989,0.015034294128417613,-0.38454627990722656,-0.06977825164794993,0.9889851501090432
Baker Mayfield,QB,17.20893,13.131959,21.027206,17.20893,7.8952475,True,0.0,17.115826,13.131989288330079,17.06767749786377,21.026956176757814,-0.09310341,3.0326843262429293e-05,-0.1412515640258789,-0.0002502441406235789,0.9999644633071568
Malik Willis,QB,17.108612,13.027412,21.44398,17.108612,8.416567,True,0.0,17.167116,13.006435203552247,17.074498176574707,21.44865303039551,0.058504105,-0.020977210998534446,-0.03411388397216797,0.0046737670898444605,1.0030476771050862
Drake London,WR,17.076075,12.495136,21.36847,17.076075,8.873333,True,0.0,17.087124,12.460747146606446,17.135838508605957,21.43626136779785,0.011049271,-0.03438911437988246,0.05976390838623047,0.06779212951660085,1.0115155425991502
Jordan Love,QB,17.071905,13.007305,20.932259,17.071905,7.9249535,True,0.0,16.980837,13.023614597320556,16.93960189819336,20.930634880065917,-0.09106827,0.016309452056884055,-0.13230323791503906,-0.0016237258911147023,0.9977371251406151
Matthew Stafford,QB,17.059723,13.037603,21.082495,17.059723,8.044891,True,0.0,17.032291,13.092840671539307,16.976346969604492,21.08435974121094,-0.027431488,0.0552372932434082,-0.08337593078613281,0.0018650054931654836,0.9933656919181384
Justin Jefferson,WR,17.053709,12.455736,21.42081,17.053709,8.965075,True,0.0,17.106182,12.498403739929199,17.160664558410645,21.356016349792483,0.05247307,0.042667579650878196,0.10695552825927734,-0.06479434967040731,0.988013269844931
Ceedee Lamb,WR,16.913706,12.34863,21.208735,16.913706,8.860105,True,0.0,16.964287,12.317554473876953,16.97641086578369,21.228649520874026,0.05058098,-0.031075477600097656,0.06270503997802734,0.019915008544924007,1.0057550659582868
Justin Fields,QB,16.86131,12.783117,21.543503,16.86131,8.7603855,True,0.0,16.939129,12.700702667236328,16.80700397491455,21.489052009582522,0.077819824,-0.08241462707519531,-0.054305076599121094,-0.05445079803466513,1.0031920774488814
James Cook,RB,16.760788,11.781631,23.29292,16.760788,11.511288,True,0.0,17.231588,11.638461494445801,17.108259201049805,23.227187728881837,0.4708004,-0.14316997528076136,0.3474712371826172,-0.06573143005370952,1.0067271835538993
Saquon Barkley,RB,16.610765,11.618206,23.055305,16.610765,11.437099,True,0.0,17.02011,11.643931674957276,16.904346466064453,23.026316452026368,0.40934372,0.025725650787354226,0.2935810089111328,-0.028989028930663352,0.9952160353309205
Cj Stroud,QB,16.565596,12.1718025,20.210638,16.565596,8.038836,True,0.0,16.25907,12.164325618743897,16.276914596557617,20.197888946533205,-0.30652618,-0.007476902008056285,-0.2886810302734375,-0.012749099731443891,0.9993441590256879
Sam Darnold,QB,16.546112,12.62802,20.310255,16.546112,7.682235,True,0.0,16.386723,12.629107570648193,16.307790756225586,20.358591461181643,-0.1593895,0.0010872840881344104,-0.23832130432128906,0.04833641052246307,1.0061504403191548
Jeremiyah Love,RB,16.452446,11.469451,22.72637,16.452446,11.256919,True,0.0,16.895987,11.53478717803955,16.713747024536133,22.646549034118653,0.44354057,0.06533622741699219,0.26130104064941406,-0.07982082366943288,0.9871050815695203
Chase Brown,RB,16.45211,11.51637,22.77908,16.45211,11.26271,True,0.0,16.929096,11.469324588775635,16.686646461486816,22.853016853332523,0.47698593,-0.047045230865478516,0.23453617095947266,0.07393741607666371,1.0107418774921557
Omarion Hampton,RB,16.295866,11.263462,22.5781,16.295866,11.314638,True,0.0,16.661594,11.24466323852539,16.44414234161377,22.54027862548828,0.36572838,-0.018798828125,0.14827632904052734,-0.0378215789794929,0.9983187486313935
Daniel Jones,QB,16.266985,12.214865,20.63422,16.266985,8.419355,True,0.0,16.269882,12.234496974945069,16.1365966796875,20.690127754211428,0.0028972626,0.019632244110107777,-0.1303882598876953,0.05590763092041229,1.0043085705638235
Deshaun Watson,QB,11.390364,8.603144,14.47566,11.390364,5.8725166,True,0.0,11.363556,8.596860218048096,11.24550199508667,14.42104892730713,-0.026807785,-0.006283473968505149,-0.14486169815063477,-0.05461139678955007,0.9917704919630126
Fernando Mendoza,QB,16.010794,11.853273,20.330027,16.010794,8.476753,True,0.0,15.967957,11.823657131195068,15.840130805969238,20.368852043151854,-0.042837143,-0.02961626052856481,-0.17066287994384766,0.038825416564939985,1.0080740438228186
Rashee Rice,WR,15.957365,11.550285,20.761318,15.957365,9.211033,True,0.0,16.10547,11.482175636291505,16.030975341796875,20.867490005493163,0.14810562,-0.06810970306396413,0.07361030578613281,0.10617179870605398,1.018920951024531
Jacoby Brissett,QB,15.949127,11.853646,20.023674,15.949127,8.170028,True,0.0,15.826214,11.851341915130615,15.747007846832275,20.024706840515137,-0.12291336,-0.0023043632507331324,-0.2021193504333496,0.0010328292846679688,1.0004084677120475
Bryce Young,QB,15.85377,11.904497,20.309608,15.85377,8.405111,True,0.0,15.930842,11.851720428466797,15.814213752746582,20.290785026550292,0.07707214,-0.05277671813964879,-0.03955650329589844,-0.018823432922363992,1.0040395997094422
Derrick Henry,RB,15.8526125,11.063414,22.18676,15.8526125,11.123346,True,0.0,16.296959,11.158404922485351,16.06292724609375,22.149939346313477,0.44434643,0.09499130249023402,0.21031475067138672,-0.03682060241699148,0.9881499774427853
Geno Smith,QB,15.839802,11.861414,19.88985,15.839802,8.028437,True,0.0,15.706936,11.88586721420288,15.611140251159668,19.835144424438475,-0.1328659,0.02445325851440394,-0.22866153717041016,-0.054706192016602984,0.9901401164540733
Cam Ward,QB,15.799643,11.726897,20.145197,15.799643,8.4183,True,0.0,15.813634,11.729395294189453,15.723068714141846,20.13204879760742,0.013991356,0.0024980545043948865,-0.07657384872436523,-0.013148117065430398,0.9981414095275899
Jj Mccarthy,QB,2.7832284,2.0905352,3.5949988,2.7832284,1.5044637,False,0.0,2.8051276,2.0959398984909057,2.78149676322937,3.581138801574707,0.021899223,0.005404734611511142,-0.0017316341400146484,-0.013860034942626775,0.9871949254046402
Carson Beck,QB,4.5845356,3.4381666,5.927994,4.5845356,2.4898272,True,0.0,4.6311903,3.4431275129318237,4.570392847061157,5.933625507354737,0.0466547,0.004960894584655762,-0.014142751693725586,0.005631732940674539,1.0002694316970493
Aaron Rodgers,QB,15.522937,11.636371,19.553627,15.522937,7.9172564,True,0.0,15.5125065,11.659701824188232,15.458312034606934,19.612966537475586,-0.010430336,0.023331165313720703,-0.06462478637695312,0.05933952331542969,1.0045480853954754
Kenneth Walker,RB,15.515742,10.739361,21.622458,15.515742,10.883097,True,0.0,15.810677,10.690785789489746,15.610209941864014,21.556818199157714,0.29493427,-0.048575019836425426,0.0944676399230957,-0.0656393051147468,0.9984320377042827
Joe Milton,QB,1.8193043,1.3394911,2.389879,1.8193043,1.0503879,False,0.0,1.8350497,1.3345847487449647,1.8188029527664185,2.3862256288528445,0.015745401,-0.004906380176544101,-0.0005013942718505859,-0.003653359413146706,1.0011929124582413
Tua Tagovailoa,QB,7.2551823,5.382133,9.172378,7.2551823,3.7902446,True,0.0,7.1935196,5.385648202896118,7.140507936477661,9.164785385131836,-0.061662674,0.003515195846557795,-0.11467432975769043,-0.007592201232910156,0.9970694774843594
Michael Penix,QB,8.110378,6.0174646,10.61047,8.110378,4.593005,True,0.0,8.201235,5.979217004776001,8.131733417510986,10.632374572753907,0.09085655,-0.0382476329803465,0.021355152130126953,0.021904754638672586,1.0130965207433793
Mac Jones,QB,2.6983333,1.9805233,3.4987586,2.6983333,1.5182352,False,0.0,2.7065315,1.978847074508667,2.68699049949646,3.480817413330078,0.008198261,-0.0016762733459472212,-0.011342763900756836,-0.01794114112853995,0.9892869907693854
George Pickens,WR,15.207378,11.041473,19.71068,15.207378,8.669207,True,0.0,15.491897,11.062355422973633,15.464489936828613,19.651642990112304,0.28451824,0.020882034301758168,0.2571115493774414,-0.059037017822266336,0.9907812726545879
Kirk Cousins,QB,2.6781583,1.976872,3.4541383,2.6781583,1.4772663,False,0.0,2.68141,1.97743763923645,2.6692909002304077,3.4434027433395387,0.003251791,0.0005656719207762784,-0.008867383003234863,-0.010735535621642978,0.9923499185940069
Aj Brown,WR,15.116549,10.885687,19.676218,15.116549,8.790531,True,0.0,15.337771,10.881228923797607,15.28115463256836,19.567291259765625,0.22122288,-0.004457950592041016,0.16460609436035156,-0.10892677307128906,0.9881157553967761
Chris Olave,WR,14.996227,10.773586,19.572136,14.996227,8.79855,True,0.0,15.252517,10.720166301727295,15.189613819122314,19.56837730407715,0.25628948,-0.05341997146606481,0.19338655471801758,-0.003758621215819602,1.0056442654998707
Cade Klubnik,QB,1.763987,1.3163577,2.3181047,1.763987,1.001747,False,0.0,1.8138422,1.3224904179573058,1.7921996116638184,2.344821858406067,0.049855232,0.006132686138152987,0.028212666511535645,0.02671711444854763,1.0205485297794443
Nico Collins,WR,14.792561,10.561006,19.370916,14.792561,8.809911,True,0.0,15.017066,10.435720252990723,14.976650714874268,19.538182067871094,0.22450542,-0.12528533935546804,0.18409013748168945,0.16726570129394602,1.0332070378629858
