state_id,origin_year,pick_slot,completed_picks,d128_action,d256_action,unique_actions,rooms
dk:2020:slot12:depth14,2020,12,14,Bryan Edwards,Bryan Edwards,1,24
dk:2021:slot1:depth0,2021,1,0,Christian McCaffrey,Christian McCaffrey,1,24
dk:2021:slot1:depth7,2021,1,7,DJ Chark,Marquise Brown,2,24
dk:2021:slot1:depth14,2021,1,14,Tyrell Williams,Tyrell Williams,1,24
dk:2021:slot6:depth0,2021,6,0,Christian McCaffrey,Christian McCaffrey,1,24
dk:2021:slot6:depth7,2021,6,7,Will Fuller,Brandin Cooks,2,24
dk:2021:slot6:depth14,2021,6,14,Terrace Marshall Jr.,Terrace Marshall Jr.,1,24
dk:2021:slot12:depth0,2021,12,0,Stefon Diggs,Stefon Diggs,1,24
dk:2021:slot12:depth7,2021,12,7,Justin Herbert,Justin Herbert,1,24
dk:2021:slot12:depth14,2021,12,14,Bryan Edwards,Bryan Edwards,1,24
dk:2022:slot1:depth0,2022,1,0,Jonathan Taylor,Jonathan Taylor,1,24
dk:2022:slot1:depth7,2022,1,7,Matthew Stafford,Matthew Stafford,1,24
dk:2022:slot1:depth14,2022,1,14,Zach Wilson,Zach Wilson,1,24
dk:2022:slot6:depth0,2022,6,0,Austin Ekeler,Austin Ekeler,1,24
dk:2022:slot6:depth7,2022,6,7,Aaron Rodgers,Aaron Rodgers,1,24
dk:2022:slot6:depth14,2022,6,14,Ryan Tannehill,Ryan Tannehill,1,24
dk:2022:slot12:depth0,2022,12,0,Najee Harris,Najee Harris,1,24
dk:2022:slot12:depth7,2022,12,7,Josh Jacobs,Josh Jacobs,1,24
dk:2022:slot12:depth14,2022,12,14,Corey Davis,Marvin Jones,2,24
dk:2023:slot1:depth0,2023,1,0,Justin Jefferson,Justin Jefferson,1,24
dk:2023:slot1:depth7,2023,1,7,Jaxon Smith-Njigba,Jaxon Smith-Njigba,1,24
dk:2023:slot1:depth14,2023,1,14,Russell Wilson,Russell Wilson,1,24
dk:2023:slot6:depth0,2023,6,0,Christian McCaffrey,Christian McCaffrey,1,24
dk:2023:slot6:depth7,2023,6,7,Mike Evans,Mike Evans,1,24
dk:2023:slot6:depth14,2023,6,14,Kyler Murray,Kyler Murray,1,24
dk:2023:slot12:depth0,2023,12,0,Tyreek Hill,Tyreek Hill,1,24
dk:2023:slot12:depth7,2023,12,7,Jordan Addison,Jordan Addison,1,24
dk:2023:slot12:depth14,2023,12,14,Donovan Peoples-Jones,Kyler Murray,2,24
dk:2024:slot1:depth0,2024,1,0,Tyreek Hill,Tyreek Hill,1,24
dk:2024:slot1:depth7,2024,1,7,Keon Coleman,Keon Coleman,1,24
dk:2024:slot1:depth14,2024,1,14,Mike Williams,Rashid Shaheed,2,24
dk:2024:slot6:depth0,2024,6,0,Ja'Marr Chase,Ja'Marr Chase,1,24
dk:2024:slot6:depth7,2024,6,7,Jordan Addison,Jordan Addison,1,24
dk:2024:slot6:depth14,2024,6,14,Mike Williams,Mike Williams,1,24
dk:2024:slot12:depth0,2024,12,0,Tyreek Hill,Tyreek Hill,1,24
dk:2024:slot12:depth7,2024,12,7,Raheem Mostert,Dak Prescott,2,24
dk:2024:slot12:depth14,2024,12,14,Deshaun Watson,Deshaun Watson,1,24
dk:2025:slot1:depth0,2025,1,0,Ja'Marr Chase,Ja'Marr Chase,1,24
dk:2025:slot1:depth7,2025,1,7,Justin Fields,Justin Fields,1,24
dk:2025:slot1:depth14,2025,1,14,Rashod Bateman,Rashod Bateman,1,24
dk:2025:slot6:depth0,2025,6,0,CeeDee Lamb,CeeDee Lamb,1,24
dk:2025:slot6:depth7,2025,6,7,Jordan Addison,Jordan Addison,1,24
dk:2025:slot6:depth14,2025,6,14,Wan'Dale Robinson,Wan'Dale Robinson,1,24
dk:2025:slot12:depth0,2025,12,0,A.J. Brown,A.J. Brown,1,24
dk:2025:slot12:depth7,2025,12,7,Jerry Jeudy,Jerry Jeudy,1,24
dk:2025:slot12:depth14,2025,12,14,Dyami Brown,Dyami Brown,1,24
