state_id,origin_year,pick_slot,completed_picks,d128_action,d256_action,unique_actions,rooms
dk:2017:slot1:depth0,2017,1,0,Julio Jones,Julio Jones,1,24
dk:2017:slot1:depth7,2017,1,7,Theo Riddick,Theo Riddick,1,24
dk:2017:slot1:depth14,2017,1,14,Latavius Murray,Joe Flacco,2,24
dk:2017:slot6:depth0,2017,6,0,Julio Jones,Julio Jones,1,24
dk:2017:slot6:depth7,2017,6,7,Donte Moncrief,Marcus Mariota,2,24
dk:2017:slot6:depth14,2017,6,14,Cole Beasley,Cole Beasley,1,24
dk:2017:slot12:depth0,2017,12,0,Doug Baldwin,A.J. Green,2,24
dk:2017:slot12:depth7,2017,12,7,Kareem Hunt,Kareem Hunt,1,24
dk:2017:slot12:depth14,2017,12,14,Jared Goff,Jared Goff,1,24
dk:2018:slot1:depth0,2018,1,0,Todd Gurley,Todd Gurley,1,24
dk:2018:slot1:depth7,2018,1,7,Robert Woods,Robert Woods,1,24
dk:2018:slot1:depth14,2018,1,14,Eric Ebron,Eric Ebron,1,24
dk:2018:slot6:depth0,2018,6,0,Alvin Kamara,Alvin Kamara,1,24
dk:2018:slot6:depth7,2018,6,7,Robbie Chosen,Pierre Garcon,2,24
dk:2018:slot6:depth14,2018,6,14,Tyrell Williams,Tyrell Williams,1,24
dk:2018:slot12:depth0,2018,12,0,Melvin Gordon,Melvin Gordon,1,24
dk:2018:slot12:depth7,2018,12,7,Cooper Kupp,Robbie Chosen,2,24
dk:2018:slot12:depth14,2018,12,14,Geronimo Allison,Geronimo Allison,1,24
dk:2019:slot1:depth0,2019,1,0,Christian McCaffrey,Christian McCaffrey,1,24
dk:2019:slot1:depth7,2019,1,7,Drew Brees,Corey Davis,2,24
dk:2019:slot1:depth14,2019,1,14,Andy Dalton,Nick Foles,2,24
dk:2019:slot6:depth0,2019,6,0,DeAndre Hopkins,DeAndre Hopkins,1,24
dk:2019:slot6:depth7,2019,6,7,Corey Davis,Corey Davis,1,24
dk:2019:slot6:depth14,2019,6,14,Sam Darnold,Sam Darnold,1,24
dk:2019:slot12:depth0,2019,12,0,Julio Jones,Julio Jones,1,24
dk:2019:slot12:depth7,2019,12,7,Corey Davis,Corey Davis,1,24
dk:2019:slot12:depth14,2019,12,14,Chase Edmonds,DeVante Parker,2,24
dk:2020:slot1:depth0,2020,1,0,Christian McCaffrey,Christian McCaffrey,1,24
dk:2020:slot1:depth7,2020,1,7,Jerry Jeudy,Jerry Jeudy,1,24
dk:2020:slot1:depth14,2020,1,14,Sam Darnold,Sam Darnold,1,24
dk:2020:slot6:depth0,2020,6,0,Christian McCaffrey,Christian McCaffrey,1,24
dk:2020:slot6:depth7,2020,6,7,Drew Brees,Henry Ruggs III,2,24
dk:2020:slot6:depth14,2020,6,14,Greg Olsen,Greg Olsen,1,24
dk:2020:slot12:depth0,2020,12,0,DeAndre Hopkins,Aaron Jones,2,24
dk:2020:slot12:depth7,2020,12,7,CeeDee Lamb,Henry Ruggs III,2,24
