state_id,origin_year,pick_slot,completed_picks,d128_target_points,d256_target_points,d256_minus_d128
dk:2017:slot12:depth0,2017,12,0,1914.9875000000002,1930.7191666666668,15.73166666666657
dk:2017:slot12:depth14,2017,12,14,1706.5858333333335,1706.5858333333335,0.0
dk:2017:slot12:depth7,2017,12,7,2078.784166666667,2078.784166666667,0.0
dk:2017:slot1:depth0,2017,1,0,2135.3641666666667,2135.3641666666667,0.0
dk:2017:slot1:depth14,2017,1,14,2073.8958333333335,2031.9483333333335,-41.94749999999999
dk:2017:slot1:depth7,2017,1,7,2079.6658333333335,2079.6658333333335,0.0
dk:2017:slot6:depth0,2017,6,0,2047.9591666666665,2047.9591666666665,0.0
dk:2017:slot6:depth14,2017,6,14,1863.2216666666666,1863.2216666666666,0.0
dk:2017:slot6:depth7,2017,6,7,1974.7441666666666,1989.6116666666667,14.867500000000064
dk:2018:slot12:depth0,2018,12,0,2049.7458333333334,2049.7458333333334,0.0
dk:2018:slot12:depth14,2018,12,14,2305.9825,2305.9825,0.0
dk:2018:slot12:depth7,2018,12,7,2252.941666666667,2262.0741666666668,9.132499999999709
dk:2018:slot1:depth0,2018,1,0,2117.1616666666664,2117.1616666666664,0.0
dk:2018:slot1:depth14,2018,1,14,2197.791666666667,2197.791666666667,0.0
dk:2018:slot1:depth7,2018,1,7,2141.771666666667,2141.771666666667,0.0
dk:2018:slot6:depth0,2018,6,0,2337.7933333333335,2337.7933333333335,0.0
dk:2018:slot6:depth14,2018,6,14,2225.0241666666666,2225.0241666666666,0.0
dk:2018:slot6:depth7,2018,6,7,2101.246666666667,2021.8491666666669,-79.39750000000004
dk:2019:slot12:depth0,2019,12,0,2212.9175,2212.9175,0.0
dk:2019:slot12:depth14,2019,12,14,1995.0183333333334,2083.3766666666666,88.35833333333312
dk:2019:slot12:depth7,2019,12,7,1931.9033333333334,1931.9033333333334,0.0
dk:2019:slot1:depth0,2019,1,0,2478.8525000000004,2478.8525000000004,0.0
