state_id,origin_year,pick_slot,completed_picks,d128_target_points,d256_target_points,d256_minus_d128
dk:2019:slot1:depth14,2019,1,14,2165.186666666667,2047.4683333333332,-117.7183333333337
dk:2019:slot1:depth7,2019,1,7,2272.9249999999997,2279.3266666666664,6.401666666666642
dk:2019:slot6:depth0,2019,6,0,2235.1858333333334,2235.1858333333334,0.0
dk:2019:slot6:depth14,2019,6,14,2179.7400000000002,2179.7400000000002,0.0
dk:2019:slot6:depth7,2019,6,7,2278.3541666666665,2278.3541666666665,0.0
dk:2020:slot12:depth0,2020,12,0,2302.028333333333,2277.73,-24.298333333333176
dk:2020:slot12:depth14,2020,12,14,2190.7616666666668,2190.7616666666668,0.0
dk:2020:slot12:depth7,2020,12,7,2263.5183333333334,2216.478333333333,-47.04000000000042
dk:2020:slot1:depth0,2020,1,0,2109.3608333333336,2109.3608333333336,0.0
dk:2020:slot1:depth14,2020,1,14,1967.8891666666668,1967.8891666666668,0.0
dk:2020:slot1:depth7,2020,1,7,2169.4683333333332,2169.4683333333332,0.0
dk:2020:slot6:depth0,2020,6,0,2139.6200000000003,2139.6200000000003,0.0
dk:2020:slot6:depth14,2020,6,14,1719.5158333333331,1719.5158333333331,0.0
dk:2020:slot6:depth7,2020,6,7,1993.7875000000001,2010.6475,16.8599999999999
dk:2021:slot12:depth0,2021,12,0,2190.6566666666668,2190.6566666666668,0.0
dk:2021:slot12:depth14,2021,12,14,2274.866666666667,2274.866666666667,0.0
dk:2021:slot12:depth7,2021,12,7,2303.2691666666665,2303.2691666666665,0.0
dk:2021:slot1:depth0,2021,1,0,2045.5325,2045.5325,0.0
dk:2021:slot1:depth14,2021,1,14,1896.0033333333333,1896.0033333333333,0.0
dk:2021:slot1:depth7,2021,1,7,2064.735,2075.465,10.730000000000018
dk:2021:slot6:depth0,2021,6,0,1993.805,1993.805,0.0
dk:2021:slot6:depth14,2021,6,14,2173.585,2173.585,0.0
dk:2021:slot6:depth7,2021,6,7,1972.49,2094.411666666667,121.92166666666685
dk:2022:slot12:depth0,2022,12,0,2089.491666666667,2089.491666666667,0.0
dk:2022:slot12:depth14,2022,12,14,2012.0825000000002,2015.995,3.9124999999996817
dk:2022:slot12:depth7,2022,12,7,2144.431666666667,2144.431666666667,0.0
dk:2022:slot1:depth0,2022,1,0,1833.756666666667,1833.756666666667,0.0
dk:2022:slot1:depth14,2022,1,14,1795.1666666666667,1795.1666666666667,0.0
dk:2022:slot1:depth7,2022,1,7,1989.125,1989.125,0.0
dk:2022:slot6:depth0,2022,6,0,2108.693333333333,2108.693333333333,0.0
dk:2022:slot6:depth14,2022,6,14,1776.6441666666667,1776.6441666666667,0.0
dk:2022:slot6:depth7,2022,6,7,1951.9983333333332,1951.9983333333332,0.0
dk:2023:slot12:depth0,2023,12,0,2080.710833333333,2080.710833333333,0.0
dk:2023:slot12:depth14,2023,12,14,2004.2066666666667,2080.9283333333333,76.72166666666658
dk:2023:slot12:depth7,2023,12,7,2216.6508333333336,2216.6508333333336,0.0
dk:2023:slot1:depth0,2023,1,0,2044.8466666666666,2044.8466666666666,0.0
dk:2023:slot1:depth14,2023,1,14,2023.3041666666666,2023.3041666666666,0.0
dk:2023:slot1:depth7,2023,1,7,2089.1749999999997,2089.1749999999997,0.0
dk:2023:slot6:depth0,2023,6,0,1996.0216666666665,1996.0216666666665,0.0
dk:2023:slot6:depth14,2023,6,14,1921.0666666666666,1921.0666666666666,0.0
dk:2023:slot6:depth7,2023,6,7,2031.405,2031.405,0.0
dk:2024:slot12:depth0,2024,12,0,2220.249166666667,2220.249166666667,0.0
dk:2024:slot12:depth14,2024,12,14,1786.1516666666666,1786.1516666666666,0.0
dk:2024:slot12:depth7,2024,12,7,2038.3033333333333,2032.9575000000002,-5.345833333333076
dk:2024:slot1:depth0,2024,1,0,2181.2083333333335,2181.2083333333335,0.0
dk:2024:slot1:depth14,2024,1,14,2166.8866666666668,2191.4408333333336,24.554166666666788
dk:2024:slot1:depth7,2024,1,7,2241.705,2241.705,0.0
dk:2024:slot6:depth0,2024,6,0,2225.9491666666668,2225.9491666666668,0.0
dk:2024:slot6:depth14,2024,6,14,2019.4350000000002,2019.4350000000002,0.0
dk:2024:slot6:depth7,2024,6,7,2030.365,2030.365,0.0
dk:2025:slot12:depth0,2025,12,0,2060.0383333333334,2060.0383333333334,0.0
dk:2025:slot12:depth14,2025,12,14,2138.8525,2138.8525,0.0
dk:2025:slot12:depth7,2025,12,7,2346.4633333333336,2346.4633333333336,0.0
dk:2025:slot1:depth0,2025,1,0,1988.0941666666668,1988.0941666666668,0.0
dk:2025:slot1:depth14,2025,1,14,1702.3458333333335,1702.3458333333335,0.0
dk:2025:slot1:depth7,2025,1,7,1619.8858333333335,1619.8858333333335,0.0
dk:2025:slot6:depth0,2025,6,0,2002.6358333333335,2002.6358333333335,0.0
dk:2025:slot6:depth14,2025,6,14,2188.04,2188.04,0.0
dk:2025:slot6:depth7,2025,6,7,2164.7758333333336,2164.7758333333336,0.0
